city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
1214026,Sabang,ID,5.89,95.32,10/26/20,            82.44,73,32,18.07
2030065,Mandalgovi,MN,45.76,106.27,10/26/20,            25.66,68,0,6.31
4020109,Atuona,PF,-9.8,-139.03,10/26/20,            78.89,73,87,19.06
3416888,Grindavik,IS,63.84,-22.43,10/26/20,            39.2,80,75,19.46
1632694,Pangkalanbuun,ID,-2.68,111.62,10/26/20,            74.57,94,100,3.85
1571058,Phan Thiet,VN,10.93,108.1,10/26/20,            76.77,87,100,4.14
978895,Margate,ZA,-30.86,30.37,10/26/20,            64.9,86,82,2.62
556268,Ostrovnoy,RU,68.05,39.51,10/26/20,            41.29,93,100,27.29
608271,Shubarkuduk,KZ,49.14,56.49,10/26/20,            34.14,84,62,15.23
2136825,Isangel,VU,-19.55,169.27,10/26/20,            79.93,64,14,13.49
3833859,Tres Arroyos,AR,-38.37,-60.28,10/26/20,            57.49,66,0,10.69
2140558,Koumac,NC,-20.57,164.28,10/26/20,            80.49,60,4,7.61
2074865,Carnarvon,AU,-24.87,113.63,10/26/20,            69.8,83,0,19.46
5261969,Marshfield,US,44.67,-90.17,10/26/20,            27.43,58,90,4.7
4013679,Coahuayana Viejo,MX,18.73,-103.68,10/26/20,            80.6,78,75,11.41
3027235,Champagnole,FR,46.74,5.91,10/26/20,            38.89,92,52,3
2119283,Zyryanka,RU,65.75,150.85,10/26/20,            8.89,93,0,2.8
2039557,Khasan,RU,42.43,130.64,10/26/20,            50.13,68,100,3.78
2120612,Tigil',RU,57.8,158.67,10/26/20,            41.97,67,91,3.8
1529484,Kumul,CN,42.8,93.45,10/26/20,            36.28,70,98,3.53
2112802,Hasaki,JP,35.73,140.83,10/26/20,            57.97,87,40,10.29
2367660,Badou,TG,7.58,0.6,10/26/20,            73.62,84,36,2.1
3361934,Saldanha,ZA,-33.01,17.94,10/26/20,            59,93,8,3.36
3424607,Tasiilaq,GL,65.61,-37.64,10/26/20,            33.8,47,100,20.8
2155415,New Norfolk,AU,-42.78,147.06,10/26/20,            54.41,53,99,3
2396518,Port-Gentil,GA,-0.72,8.78,10/26/20,            78.8,94,90,6.93
1636544,Manado,ID,1.49,124.85,10/26/20,            77,88,20,1.12
1643837,Gorontalo,ID,0.54,123.06,10/26/20,            84.36,68,100,2.86
1106677,Bambous Virieux,MU,-20.34,57.76,10/26/20,            71.78,83,40,6.93
6164499,The Pas,CA,53.83,-101.25,10/26/20,            26.6,49,1,9.17
6089245,Norman Wells,CA,65.28,-126.83,10/26/20,            26.6,73,90,18.34
3663503,Manicoré,BR,-5.81,-61.3,10/26/20,            80.06,74,29,1.3
1174451,Keti Bandar,PK,24.14,67.45,10/26/20,            77.9,58,0,8.81
133595,Lar,IR,27.66,54.32,10/26/20,            62.29,46,0,3.31
1512101,Agirish,RU,61.92,63.02,10/26/20,            20.59,95,100,11.45
2126199,Cherskiy,RU,68.75,161.3,10/26/20,            5.95,93,33,6.6
2178753,Kirakira,SB,-10.45,161.92,10/26/20,            84.13,76,80,5.73
3883457,Lebu,CL,-37.62,-73.65,10/26/20,            51.4,87,100,5.14
572520,Borisoglebskiy,RU,57.26,39.15,10/26/20,            35.6,91,0,4.47
4031637,Lavrentiya,RU,65.58,-171,10/26/20,            31.87,90,7,5.39
